miRNA,Score_mi,Gene,Disease_name,Score_dis
hsa-miR-29b-3p,97.744707523,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-29b-3p,97.744707523,COL4A1,porencephaly,83.0
hsa-miR-29b-3p,97.744707523,COL4A1,porencephaly,90.0
hsa-miR-29c-3p,97.744707523,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-29c-3p,97.744707523,COL4A1,porencephaly,83.0
hsa-miR-29c-3p,97.744707523,COL4A1,porencephaly,90.0
hsa-miR-300,96.1792606336,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-300,96.1792606336,COL4A1,porencephaly,83.0
hsa-miR-300,96.1792606336,COL4A1,porencephaly,90.0
hsa-miR-3065-5p,95.13528,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-3065-5p,95.13528,COL4A1,porencephaly,83.0
hsa-miR-3065-5p,95.13528,COL4A1,porencephaly,90.0
hsa-miR-3142,88.8118,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-3142,88.8118,COL4A1,porencephaly,83.0
hsa-miR-3142,88.8118,COL4A1,porencephaly,90.0
hsa-miR-3152-3p,89.6839,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-3152-3p,89.6839,COL4A1,porencephaly,83.0
hsa-miR-3152-3p,89.6839,COL4A1,porencephaly,90.0
hsa-miR-335-3p,80.984158555,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-335-3p,80.984158555,COL4A1,porencephaly,83.0
hsa-miR-335-3p,80.984158555,COL4A1,porencephaly,90.0
hsa-miR-345-3p,95.20205,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-345-3p,95.20205,COL4A1,porencephaly,83.0
hsa-miR-345-3p,95.20205,COL4A1,porencephaly,90.0
hsa-miR-3619-3p,86.6989,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-3619-3p,86.6989,COL4A1,porencephaly,83.0
hsa-miR-3619-3p,86.6989,COL4A1,porencephaly,90.0
hsa-miR-369-3p,84.7775094728,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-369-3p,84.7775094728,COL4A1,porencephaly,83.0
hsa-miR-369-3p,84.7775094728,COL4A1,porencephaly,90.0
hsa-miR-3714,83.5815,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-3714,83.5815,COL4A1,porencephaly,83.0
hsa-miR-3714,83.5815,COL4A1,porencephaly,90.0
hsa-miR-381-3p,96.1792606336,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-381-3p,96.1792606336,COL4A1,porencephaly,83.0
hsa-miR-381-3p,96.1792606336,COL4A1,porencephaly,90.0
hsa-miR-3910,83.5815,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-3910,83.5815,COL4A1,porencephaly,83.0
hsa-miR-3910,83.5815,COL4A1,porencephaly,90.0
hsa-miR-4452,95.07215,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-4452,95.07215,COL4A1,porencephaly,83.0
hsa-miR-4452,95.07215,COL4A1,porencephaly,90.0
hsa-miR-4458,88.1625,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-4458,88.1625,COL4A1,porencephaly,83.0
hsa-miR-4458,88.1625,COL4A1,porencephaly,90.0
hsa-miR-4500,89.5837,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-4500,89.5837,COL4A1,porencephaly,83.0
hsa-miR-4500,89.5837,COL4A1,porencephaly,90.0
hsa-miR-4520-3p,85.3514,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-4520-3p,85.3514,COL4A1,porencephaly,83.0
hsa-miR-4520-3p,85.3514,COL4A1,porencephaly,90.0
hsa-miR-466,92.11487,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-466,92.11487,COL4A1,porencephaly,83.0
hsa-miR-466,92.11487,COL4A1,porencephaly,90.0
hsa-miR-4776-5p,80.5176,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-4776-5p,80.5176,COL4A1,porencephaly,83.0
hsa-miR-4776-5p,80.5176,COL4A1,porencephaly,90.0
hsa-miR-4789-3p,82.0636126937799,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-4789-3p,82.0636126937799,COL4A1,porencephaly,83.0
hsa-miR-4789-3p,82.0636126937799,COL4A1,porencephaly,90.0
hsa-miR-495-3p,88.1285565448,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-495-3p,88.1285565448,COL4A1,porencephaly,83.0
hsa-miR-495-3p,88.1285565448,COL4A1,porencephaly,90.0
hsa-miR-5011-5p,99.9877909946931,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-5011-5p,99.9877909946931,COL4A1,porencephaly,83.0
hsa-miR-5011-5p,99.9877909946931,COL4A1,porencephaly,90.0
hsa-miR-506-3p,94.88617642577,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-506-3p,94.88617642577,COL4A1,porencephaly,83.0
hsa-miR-506-3p,94.88617642577,COL4A1,porencephaly,90.0
hsa-miR-5094,82.6937,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-5094,82.6937,COL4A1,porencephaly,83.0
hsa-miR-5094,82.6937,COL4A1,porencephaly,90.0
hsa-miR-520d-5p,89.3565134078,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-520d-5p,89.3565134078,COL4A1,porencephaly,83.0
hsa-miR-520d-5p,89.3565134078,COL4A1,porencephaly,90.0
hsa-miR-524-5p,89.3565134078,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-524-5p,89.3565134078,COL4A1,porencephaly,83.0
hsa-miR-524-5p,89.3565134078,COL4A1,porencephaly,90.0
hsa-miR-545-3p,82.8256,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-545-3p,82.8256,COL4A1,porencephaly,83.0
hsa-miR-545-3p,82.8256,COL4A1,porencephaly,90.0
hsa-miR-548ac,93.7357305790819,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548ac,93.7357305790819,COL4A1,porencephaly,83.0
hsa-miR-548ac,93.7357305790819,COL4A1,porencephaly,90.0
hsa-miR-548ae-3p,84.6713474101,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548ae-3p,84.6713474101,COL4A1,porencephaly,83.0
hsa-miR-548ae-3p,84.6713474101,COL4A1,porencephaly,90.0
hsa-miR-548ah-3p,84.6713474101,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548ah-3p,84.6713474101,COL4A1,porencephaly,83.0
hsa-miR-548ah-3p,84.6713474101,COL4A1,porencephaly,90.0
hsa-miR-548aj-3p,85.505397775,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548aj-3p,85.505397775,COL4A1,porencephaly,83.0
hsa-miR-548aj-3p,85.505397775,COL4A1,porencephaly,90.0
hsa-miR-548am-3p,84.6713474101,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548am-3p,84.6713474101,COL4A1,porencephaly,83.0
hsa-miR-548am-3p,84.6713474101,COL4A1,porencephaly,90.0
hsa-miR-548aq-3p,84.6713474101,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548aq-3p,84.6713474101,COL4A1,porencephaly,83.0
hsa-miR-548aq-3p,84.6713474101,COL4A1,porencephaly,90.0
hsa-miR-548as-3p,90.50594,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548as-3p,90.50594,COL4A1,porencephaly,83.0
hsa-miR-548as-3p,90.50594,COL4A1,porencephaly,90.0
hsa-miR-548bb-3p,93.7357305790819,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548bb-3p,93.7357305790819,COL4A1,porencephaly,83.0
hsa-miR-548bb-3p,93.7357305790819,COL4A1,porencephaly,90.0
hsa-miR-548d-3p,93.7357305790819,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548d-3p,93.7357305790819,COL4A1,porencephaly,83.0
hsa-miR-548d-3p,93.7357305790819,COL4A1,porencephaly,90.0
hsa-miR-548h-3p,93.7357305790819,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548h-3p,93.7357305790819,COL4A1,porencephaly,83.0
hsa-miR-548h-3p,93.7357305790819,COL4A1,porencephaly,90.0
hsa-miR-548j-3p,84.6713474101,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548j-3p,84.6713474101,COL4A1,porencephaly,83.0
hsa-miR-548j-3p,84.6713474101,COL4A1,porencephaly,90.0
hsa-miR-548x-3p,85.505397775,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548x-3p,85.505397775,COL4A1,porencephaly,83.0
hsa-miR-548x-3p,85.505397775,COL4A1,porencephaly,90.0
hsa-miR-548z,93.7357305790819,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-548z,93.7357305790819,COL4A1,porencephaly,83.0
hsa-miR-548z,93.7357305790819,COL4A1,porencephaly,90.0
hsa-miR-556-3p,88.7463,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-556-3p,88.7463,COL4A1,porencephaly,83.0
hsa-miR-556-3p,88.7463,COL4A1,porencephaly,90.0
hsa-miR-5682,98.46538864764,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-5682,98.46538864764,COL4A1,porencephaly,83.0
hsa-miR-5682,98.46538864764,COL4A1,porencephaly,90.0
hsa-miR-5688,89.2504760113,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-5688,89.2504760113,COL4A1,porencephaly,83.0
hsa-miR-5688,89.2504760113,COL4A1,porencephaly,90.0
hsa-miR-628-5p,84.7995,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-628-5p,84.7995,COL4A1,porencephaly,83.0
hsa-miR-628-5p,84.7995,COL4A1,porencephaly,90.0
hsa-miR-637,83.929767661,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-637,83.929767661,COL4A1,porencephaly,83.0
hsa-miR-637,83.929767661,COL4A1,porencephaly,90.0
hsa-miR-6504-3p,91.1848,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-6504-3p,91.1848,COL4A1,porencephaly,83.0
hsa-miR-6504-3p,91.1848,COL4A1,porencephaly,90.0
hsa-miR-6732-3p,96.47267,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-6732-3p,96.47267,COL4A1,porencephaly,83.0
hsa-miR-6732-3p,96.47267,COL4A1,porencephaly,90.0
hsa-miR-6768-3p,93.27097,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-6768-3p,93.27097,COL4A1,porencephaly,83.0
hsa-miR-6768-3p,93.27097,COL4A1,porencephaly,90.0
hsa-miR-6768-5p,92.6034,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-6768-5p,92.6034,COL4A1,porencephaly,83.0
hsa-miR-6768-5p,92.6034,COL4A1,porencephaly,90.0
hsa-miR-6830-3p,81.49892525,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-6830-3p,81.49892525,COL4A1,porencephaly,83.0
hsa-miR-6830-3p,81.49892525,COL4A1,porencephaly,90.0
hsa-miR-6871-3p,97.1946017134,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-6871-3p,97.1946017134,COL4A1,porencephaly,83.0
hsa-miR-6871-3p,97.1946017134,COL4A1,porencephaly,90.0
hsa-miR-7-1-3p,88.2475313216,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-7-1-3p,88.2475313216,COL4A1,porencephaly,83.0
hsa-miR-7-1-3p,88.2475313216,COL4A1,porencephaly,90.0
hsa-miR-7-2-3p,88.2475313216,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-7-2-3p,88.2475313216,COL4A1,porencephaly,83.0
hsa-miR-7-2-3p,88.2475313216,COL4A1,porencephaly,90.0
hsa-miR-767-5p,83.5939,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-767-5p,83.5939,COL4A1,porencephaly,83.0
hsa-miR-767-5p,83.5939,COL4A1,porencephaly,90.0
hsa-miR-8070,89.5281522382135,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-8070,89.5281522382135,COL4A1,porencephaly,83.0
hsa-miR-8070,89.5281522382135,COL4A1,porencephaly,90.0
hsa-miR-9718,88.4295,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-9718,88.4295,COL4A1,porencephaly,83.0
hsa-miR-9718,88.4295,COL4A1,porencephaly,90.0
hsa-miR-98-3p,94.72585,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-98-3p,94.72585,COL4A1,porencephaly,83.0
hsa-miR-98-3p,94.72585,COL4A1,porencephaly,90.0
hsa-miR-98-5p,88.3947,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-98-5p,88.3947,COL4A1,porencephaly,83.0
hsa-miR-98-5p,88.3947,COL4A1,porencephaly,90.0
hsa-miR-9986,87.267,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-9986,87.267,COL4A1,porencephaly,83.0
hsa-miR-9986,87.267,COL4A1,porencephaly,90.0
hsa-miR-200a-5p,93.97586530992,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-200a-5p,93.97586530992,COL4A1,porencephaly,83.0
hsa-miR-200a-5p,93.97586530992,COL4A1,porencephaly,90.0
hsa-miR-200b-5p,93.97586530992,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-200b-5p,93.97586530992,COL4A1,porencephaly,83.0
hsa-miR-200b-5p,93.97586530992,COL4A1,porencephaly,90.0
hsa-miR-205-5p,84.9631604288,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-205-5p,84.9631604288,COL4A1,porencephaly,83.0
hsa-miR-205-5p,84.9631604288,COL4A1,porencephaly,90.0
hsa-miR-4286,81.0713,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-4286,81.0713,COL4A1,porencephaly,83.0
hsa-miR-4286,81.0713,COL4A1,porencephaly,90.0
hsa-miR-4659a-3p,93.7872881737,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-4659a-3p,93.7872881737,COL4A1,porencephaly,83.0
hsa-miR-4659a-3p,93.7872881737,COL4A1,porencephaly,90.0
hsa-miR-4659b-3p,93.7872881737,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-4659b-3p,93.7872881737,COL4A1,porencephaly,83.0
hsa-miR-4659b-3p,93.7872881737,COL4A1,porencephaly,90.0
hsa-miR-4735-5p,90.43232,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-4735-5p,90.43232,COL4A1,porencephaly,83.0
hsa-miR-4735-5p,90.43232,COL4A1,porencephaly,90.0
hsa-miR-488-3p,96.0650399872,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-488-3p,96.0650399872,COL4A1,porencephaly,83.0
hsa-miR-488-3p,96.0650399872,COL4A1,porencephaly,90.0
hsa-miR-5591-3p,86.6165,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-5591-3p,86.6165,COL4A1,porencephaly,83.0
hsa-miR-5591-3p,86.6165,COL4A1,porencephaly,90.0
hsa-miR-605-3p,83.0005,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-605-3p,83.0005,COL4A1,porencephaly,83.0
hsa-miR-605-3p,83.0005,COL4A1,porencephaly,90.0
hsa-miR-6126,84.1552375189,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-6126,84.1552375189,COL4A1,porencephaly,83.0
hsa-miR-6126,84.1552375189,COL4A1,porencephaly,90.0
hsa-miR-6730-5p,86.5885924982,COL4A1,brain small vessel disease with hemorrhage,82.0
hsa-miR-6730-5p,86.5885924982,COL4A1,porencephaly,83.0
hsa-miR-6730-5p,86.5885924982,COL4A1,porencephaly,90.0
hsa-let-7a-3p,93.15267,PRPF8,retinitis pigmentosa,92.0
hsa-let-7b-3p,93.15267,PRPF8,retinitis pigmentosa,92.0
hsa-let-7f-1-3p,93.15267,PRPF8,retinitis pigmentosa,92.0
hsa-miR-126-5p,88.1981,PRPF8,retinitis pigmentosa,92.0
hsa-miR-300,85.5189,PRPF8,retinitis pigmentosa,92.0
hsa-miR-381-3p,85.5189,PRPF8,retinitis pigmentosa,92.0
hsa-miR-4282,82.7888,PRPF8,retinitis pigmentosa,92.0
hsa-miR-4666a-3p,83.7861,PRPF8,retinitis pigmentosa,92.0
hsa-miR-4795-3p,96.4058945704,PRPF8,retinitis pigmentosa,92.0
hsa-miR-506-5p,89.1421,PRPF8,retinitis pigmentosa,92.0
hsa-miR-93-3p,90.38216,PRPF8,retinitis pigmentosa,92.0
hsa-miR-98-3p,93.15267,PRPF8,retinitis pigmentosa,92.0
hsa-let-7a-3p,88.2753523594,SPAST,spastic paraplegia,100.0
hsa-let-7b-3p,88.2753523594,SPAST,spastic paraplegia,100.0
hsa-let-7c-3p,87.0953,SPAST,spastic paraplegia,100.0
hsa-let-7f-1-3p,88.2753523594,SPAST,spastic paraplegia,100.0
hsa-miR-10394-5p,82.990300376,SPAST,spastic paraplegia,100.0
hsa-miR-11400,81.4342,SPAST,spastic paraplegia,100.0
hsa-miR-1205,82.990300376,SPAST,spastic paraplegia,100.0
hsa-miR-12133,88.7496451858,SPAST,spastic paraplegia,100.0
hsa-miR-126-5p,95.0702686765344,SPAST,spastic paraplegia,100.0
hsa-miR-1271-5p,88.7496451858,SPAST,spastic paraplegia,100.0
hsa-miR-153-5p,90.1375712927175,SPAST,spastic paraplegia,100.0
hsa-miR-186-5p,84.695275391157,SPAST,spastic paraplegia,100.0
hsa-miR-2681-5p,87.8390573605784,SPAST,spastic paraplegia,100.0
hsa-miR-3059-5p,95.3645639622,SPAST,spastic paraplegia,100.0
hsa-miR-3065-5p,83.3551,SPAST,spastic paraplegia,100.0
hsa-miR-3074-3p,81.8845253045042,SPAST,spastic paraplegia,100.0
hsa-miR-3124-3p,95.7689017649084,SPAST,spastic paraplegia,100.0
hsa-miR-323b-3p,91.0648739404,SPAST,spastic paraplegia,100.0
hsa-miR-338-5p,81.1712786507323,SPAST,spastic paraplegia,100.0
hsa-miR-3658,97.1058540606324,SPAST,spastic paraplegia,100.0
hsa-miR-371b-5p,81.85278598,SPAST,spastic paraplegia,100.0
hsa-miR-373-5p,81.85278598,SPAST,spastic paraplegia,100.0
hsa-miR-380-3p,81.3729294369,SPAST,spastic paraplegia,100.0
hsa-miR-4503,92.483346412,SPAST,spastic paraplegia,100.0
hsa-miR-4729,89.6269288825,SPAST,spastic paraplegia,100.0
hsa-miR-4795-3p,90.9468285765,SPAST,spastic paraplegia,100.0
hsa-miR-498-3p,86.8369,SPAST,spastic paraplegia,100.0
hsa-miR-5088-3p,84.5760470344,SPAST,spastic paraplegia,100.0
hsa-miR-548ad-3p,90.44444,SPAST,spastic paraplegia,100.0
hsa-miR-616-5p,81.85278598,SPAST,spastic paraplegia,100.0
hsa-miR-6507-5p,80.4548,SPAST,spastic paraplegia,100.0
hsa-miR-6740-3p,92.3528417868,SPAST,spastic paraplegia,100.0
hsa-miR-6864-5p,90.60886,SPAST,spastic paraplegia,100.0
hsa-miR-6881-3p,95.40411496688,SPAST,spastic paraplegia,100.0
hsa-miR-769-5p,82.0185,SPAST,spastic paraplegia,100.0
hsa-miR-8064,80.4834366792,SPAST,spastic paraplegia,100.0
hsa-miR-936,84.1487,SPAST,spastic paraplegia,100.0
hsa-miR-944,90.1519477903131,SPAST,spastic paraplegia,100.0
hsa-miR-96-5p,91.5295003195,SPAST,spastic paraplegia,100.0
hsa-miR-98-3p,88.2753523594,SPAST,spastic paraplegia,100.0
hsa-let-7a-3p,88.2753523594,SPAST,spastic paraplegia,100.0
hsa-let-7b-3p,88.2753523594,SPAST,spastic paraplegia,100.0
hsa-let-7c-3p,87.0953,SPAST,spastic paraplegia,100.0
hsa-let-7f-1-3p,88.2753523594,SPAST,spastic paraplegia,100.0
hsa-miR-10394-5p,90.685850672,SPAST,spastic paraplegia,100.0
hsa-miR-11400,81.4342,SPAST,spastic paraplegia,100.0
hsa-miR-1205,90.685850672,SPAST,spastic paraplegia,100.0
hsa-miR-12133,94.49231222476,SPAST,spastic paraplegia,100.0
hsa-miR-126-5p,95.0702686765344,SPAST,spastic paraplegia,100.0
hsa-miR-1271-5p,94.49231222476,SPAST,spastic paraplegia,100.0
hsa-miR-153-5p,90.1375712927175,SPAST,spastic paraplegia,100.0
hsa-miR-182-5p,87.2972805475,SPAST,spastic paraplegia,100.0
hsa-miR-186-5p,87.5259957457675,SPAST,spastic paraplegia,100.0
hsa-miR-2681-5p,87.8390573605784,SPAST,spastic paraplegia,100.0
hsa-miR-3059-5p,95.3645639622,SPAST,spastic paraplegia,100.0
hsa-miR-3065-5p,83.3551,SPAST,spastic paraplegia,100.0
hsa-miR-3074-3p,81.8845253045042,SPAST,spastic paraplegia,100.0
hsa-miR-30a-5p,93.1829244214,SPAST,spastic paraplegia,100.0
hsa-miR-30b-5p,93.1829244214,SPAST,spastic paraplegia,100.0
hsa-miR-30c-5p,93.1829244214,SPAST,spastic paraplegia,100.0
hsa-miR-30d-5p,93.1829244214,SPAST,spastic paraplegia,100.0
hsa-miR-30e-5p,93.1829244214,SPAST,spastic paraplegia,100.0
hsa-miR-3124-3p,95.7689017649084,SPAST,spastic paraplegia,100.0
hsa-miR-323b-3p,91.0648739404,SPAST,spastic paraplegia,100.0
hsa-miR-338-5p,81.1712786507323,SPAST,spastic paraplegia,100.0
hsa-miR-3658,97.1058540606324,SPAST,spastic paraplegia,100.0
hsa-miR-3686,80.737054088,SPAST,spastic paraplegia,100.0
hsa-miR-371b-5p,81.85278598,SPAST,spastic paraplegia,100.0
hsa-miR-373-5p,81.85278598,SPAST,spastic paraplegia,100.0
hsa-miR-380-3p,81.3729294369,SPAST,spastic paraplegia,100.0
hsa-miR-384,80.8511783373868,SPAST,spastic paraplegia,100.0
hsa-miR-4503,95.9596897432,SPAST,spastic paraplegia,100.0
hsa-miR-4719,80.0826,SPAST,spastic paraplegia,100.0
hsa-miR-4729,91.4055015698,SPAST,spastic paraplegia,100.0
hsa-miR-4795-3p,90.9468285765,SPAST,spastic paraplegia,100.0
hsa-miR-495-3p,84.3295885822,SPAST,spastic paraplegia,100.0
hsa-miR-498-3p,91.70598,SPAST,spastic paraplegia,100.0
hsa-miR-5088-3p,84.5760470344,SPAST,spastic paraplegia,100.0
hsa-miR-548ad-3p,90.44444,SPAST,spastic paraplegia,100.0
hsa-miR-568,84.4826473942,SPAST,spastic paraplegia,100.0
hsa-miR-5688,84.3295885822,SPAST,spastic paraplegia,100.0
hsa-miR-616-5p,81.85278598,SPAST,spastic paraplegia,100.0
hsa-miR-6507-5p,80.4548,SPAST,spastic paraplegia,100.0
hsa-miR-6740-3p,97.7007000468,SPAST,spastic paraplegia,100.0
hsa-miR-6864-5p,90.60886,SPAST,spastic paraplegia,100.0
hsa-miR-6881-3p,95.40411496688,SPAST,spastic paraplegia,100.0
hsa-miR-769-5p,82.0185,SPAST,spastic paraplegia,100.0
hsa-miR-8064,93.7556296808,SPAST,spastic paraplegia,100.0
hsa-miR-936,84.1487,SPAST,spastic paraplegia,100.0
hsa-miR-944,90.1519477903131,SPAST,spastic paraplegia,100.0
hsa-miR-96-5p,95.62173093835,SPAST,spastic paraplegia,100.0
hsa-miR-98-3p,88.2753523594,SPAST,spastic paraplegia,100.0
hsa-let-7a-3p,87.6465,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-let-7b-3p,87.6465,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-let-7f-1-3p,85.7919,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-12136,94.111034719,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-1277-5p,80.7628,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-130a-3p,99.07746391005,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-130b-3p,99.07746391005,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-148a-3p,93.12491,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-148b-3p,93.12491,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-152-3p,93.12491,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-193a-5p,91.60862,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-1972,88.4778,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-203b-3p,94.17339,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-301a-3p,99.07746391005,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-301b-3p,99.07746391005,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-30a-5p,89.4075,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-30b-5p,89.4075,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-30c-5p,89.4075,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-30d-5p,89.4075,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-30e-5p,89.4075,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-3611,80.0167958795,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-365a-3p,98.55114537794,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-365b-3p,98.55114537794,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-3666,99.07746391005,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-376a-2-5p,86.4716,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-4295,99.07746391005,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-4452,93.49364,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-450b-5p,82.638100725,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-454-3p,99.2714391408,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-4638-3p,82.5228,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-4671-3p,90.13306,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-4799-5p,84.6299,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-518a-5p,96.4203672486228,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-519a-3p,85.9177,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-519b-3p,85.9177,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-519c-3p,85.9177,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-527,96.4203672486228,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-548ae-3p,92.4606301681,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-548ah-3p,92.4606301681,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-548aj-3p,93.89580088,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-548am-3p,92.4606301681,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-548aq-3p,92.4606301681,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-548j-3p,92.4606301681,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-548x-3p,93.89580088,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-5692a,88.7425,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-570-3p,82.8254,ACVR1,fibrodysplasia ossificans progressiva,100.0
hsa-miR-586,81.6584,ACVR1,fibrodysplasia ossificans progressiva,100.0
